epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,345.972,0.78771,3.06726,0.46354,0.85197,1.20246,0.89735,0.91066,0.94458,0.81337,0.61395,0.63314,0.51597,0.1825,0.60123,4.53826,0.22222,0.59715,1.06855,0.000959289,0.000959289,0.000959289
28,358.635,0.78482,3.05694,0.46795,0.87916,1.20166,0.93056,0.84296,0.9137,0.81014,0.65386,0.59114,0.51259,0.16859,0.57908,4.6827,0.20884,0.62125,1.06584,0.000956145,0.000956145,0.000956145
29,371.033,0.77651,2.96301,0.47012,0.85799,1.20195,0.91927,0.91698,0.95072,0.7908,0.6374,0.62656,0.51905,0.16932,0.67511,4.73513,0.25091,0.64481,1.13343,0.000952889,0.000952889,0.000952889
30,383.532,0.77777,2.90649,0.46956,0.85631,1.20209,0.96623,0.87777,0.97122,0.83585,0.71041,0.59939,0.6121,0.22939,0.56349,4.39545,0.29234,0.55016,1.03982,0.000949524,0.000949524,0.000949524
31,396.164,0.76749,3.05616,0.46642,0.82175,1.16849,0.89305,0.9082,0.95407,0.82173,0.62363,0.59077,0.47439,0.17179,0.55866,4.98797,0.2736,0.61687,1.05121,0.000946048,0.000946048,0.000946048
32,408.515,0.74331,2.88443,0.4573,0.80945,1.16932,0.86837,0.94909,0.95095,0.83146,0.61163,0.63172,0.53268,0.17072,0.57484,4.74556,0.26925,0.58766,1.04475,0.000942464,0.000942464,0.000942464
33,421.022,0.74749,2.63907,0.45188,0.84176,1.18199,0.89522,0.90259,0.94548,0.82878,0.61447,0.645,0.56635,0.20161,0.54399,4.55122,0.19099,0.56575,1.01266,0.000938772,0.000938772,0.000938772
34,433.572,0.73586,2.8565,0.45705,0.79847,1.15826,0.9414,0.91089,0.95171,0.80283,0.71314,0.67552,0.59361,0.21502,0.58949,4.39571,0.23176,0.58939,1.06773,0.000934973,0.000934973,0.000934973
35,445.945,0.74921,2.70479,0.46729,0.79357,1.18791,0.91232,0.89466,0.93036,0.79304,0.74304,0.73039,0.70284,0.25015,0.59341,4.43427,0.25484,0.76738,1.06051,0.000931067,0.000931067,0.000931067
36,458.267,0.75255,2.71973,0.45746,0.79901,1.19456,0.92972,0.8962,0.95673,0.84711,0.67961,0.64595,0.58946,0.22034,0.55099,4.4944,0.21602,0.55583,1.02469,0.000927057,0.000927057,0.000927057
