epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,1013.37,0.45162,1.88528,0.37454,0.44273,1.0073,0.97565,0.98213,0.98884,0.95613,0.85063,0.85595,0.8464,0.40324,0.30086,3.26315,0.17348,0.25547,0.85314,0.000130287,0.000130287,0.000130287
118,1021.79,0.44577,1.85004,0.36635,0.42798,1.00042,0.97339,0.98119,0.98815,0.94297,0.83149,0.83781,0.79768,0.38299,0.31185,3.33076,0.17373,0.26001,0.86221,0.000123596,0.000123596,0.000123596
119,1030.17,0.45027,1.92149,0.36501,0.4359,0.99391,0.97826,0.98213,0.98707,0.94186,0.86181,0.86401,0.84153,0.39348,0.30898,3.27438,0.17005,0.2599,0.86709,0.000117072,0.000117072,0.000117072
120,1038.77,0.43187,1.88869,0.35834,0.42286,0.99273,0.97944,0.98042,0.98528,0.93765,0.829,0.82897,0.79781,0.39331,0.32471,3.3569,0.17464,0.26306,0.87744,0.000110718,0.000110718,0.000110718
121,1047.06,0.4386,1.88247,0.36309,0.42803,0.99335,0.98101,0.97663,0.98559,0.94281,0.85271,0.84912,0.83705,0.40536,0.31486,3.25229,0.17628,0.26562,0.86708,0.000104537,0.000104537,0.000104537
122,1055.46,0.43906,1.87366,0.35989,0.42396,0.98989,0.98121,0.97589,0.98787,0.94173,0.83705,0.83246,0.81321,0.39762,0.31557,3.27062,0.18119,0.25995,0.86958,9.85311e-05,9.85311e-05,9.85311e-05
123,1063.86,0.43454,1.82629,0.37111,0.42294,0.99245,0.97927,0.98045,0.98865,0.93929,0.83673,0.83735,0.82098,0.39603,0.32056,3.3332,0.17948,0.25685,0.88054,9.2704e-05,9.2704e-05,9.2704e-05
124,1072.44,0.44201,1.81243,0.36561,0.42884,1.00665,0.97592,0.97964,0.98778,0.93745,0.86192,0.86423,0.84675,0.40565,0.31827,3.22901,0.18163,0.26154,0.87348,8.70577e-05,8.70577e-05,8.70577e-05
125,1080.9,0.42719,1.83334,0.35943,0.42693,0.98719,0.98125,0.97394,0.98841,0.93858,0.85646,0.84998,0.82722,0.39905,0.31896,3.25487,0.17888,0.26487,0.86715,8.15947e-05,8.15947e-05,8.15947e-05
126,1089.31,0.44629,1.82521,0.35355,0.42633,0.99808,0.98016,0.9749,0.98849,0.94141,0.85732,0.85061,0.83262,0.39977,0.31196,3.2592,0.17682,0.26086,0.86618,7.63174e-05,7.63174e-05,7.63174e-05
127,1097.75,0.43607,1.83068,0.35947,0.42262,0.9939,0.97292,0.97576,0.98881,0.94209,0.8375,0.84019,0.825,0.39645,0.30868,3.29662,0.17531,0.25555,0.86536,7.12282e-05,7.12282e-05,7.12282e-05
128,1106.19,0.43325,1.86047,0.3526,0.4209,0.99232,0.97657,0.97557,0.98905,0.94533,0.85728,0.85596,0.84431,0.40385,0.30895,3.32696,0.17623,0.25201,0.86482,6.63292e-05,6.63292e-05,6.63292e-05
129,1114.61,0.43352,1.85872,0.35203,0.42147,0.99086,0.98411,0.97334,0.98871,0.94612,0.83932,0.8364,0.8283,0.39691,0.30861,3.34681,0.18205,0.25087,0.86111,6.16227e-05,6.16227e-05,6.16227e-05
130,1123.19,0.4431,1.77403,0.3598,0.43732,1.00224,0.98411,0.97391,0.98856,0.94387,0.84601,0.84591,0.84041,0.40675,0.30593,3.33158,0.17994,0.25047,0.85824,5.71106e-05,5.71106e-05,5.71106e-05
131,1131.62,0.43436,1.791,0.36074,0.40875,0.99289,0.97703,0.97994,0.98967,0.94843,0.84479,0.85144,0.84066,0.40954,0.3002,3.29589,0.17908,0.24357,0.85731,5.2795e-05,5.2795e-05,5.2795e-05
132,1140.5,0.43357,1.78195,0.35125,0.42965,0.99229,0.97827,0.98213,0.99033,0.94322,0.8431,0.84614,0.82355,0.40529,0.30494,3.24055,0.17709,0.24593,0.86347,4.86777e-05,4.86777e-05,4.86777e-05
133,1148.89,0.43677,1.79501,0.35759,0.41734,1.00208,0.99077,0.97871,0.99079,0.94451,0.85803,0.85217,0.83502,0.41121,0.30742,3.29847,0.17481,0.24462,0.86375,4.47606e-05,4.47606e-05,4.47606e-05
134,1157.38,0.42393,1.82598,0.35463,0.42357,0.99295,0.98427,0.97964,0.99066,0.94244,0.84023,0.84341,0.82006,0.39702,0.30781,3.33499,0.17289,0.23995,0.8641,4.10454e-05,4.10454e-05,4.10454e-05
135,1165.81,0.42444,1.84297,0.35022,0.40469,0.98776,0.97991,0.98045,0.99047,0.94212,0.84695,0.84065,0.81895,0.39335,0.31162,3.33933,0.17456,0.24262,0.86952,3.75337e-05,3.75337e-05,3.75337e-05
136,1176.06,0.29616,2.93435,0.18051,0.27171,0.91276,0.97861,0.98213,0.9898,0.94343,0.85573,0.85595,0.82922,0.39609,0.31483,3.31055,0.17633,0.2502,0.86919,3.4227e-05,3.4227e-05,3.4227e-05
137,1184.46,0.2829,2.90933,0.1719,0.25615,0.89717,0.97886,0.98213,0.98932,0.94544,0.82834,0.83001,0.80794,0.39599,0.31347,3.38496,0.17287,0.25668,0.87047,3.11268e-05,3.11268e-05,3.11268e-05
138,1193.05,0.27611,2.91643,0.17072,0.24255,0.89251,0.97974,0.98213,0.98879,0.93987,0.8378,0.83982,0.82617,0.40679,0.31967,3.32831,0.17093,0.26441,0.87762,2.82345e-05,2.82345e-05,2.82345e-05
139,1201.45,0.27027,2.88489,0.16589,0.23405,0.8845,0.97594,0.98213,0.98653,0.93766,0.83623,0.83982,0.82765,0.40472,0.32439,3.30725,0.17044,0.26363,0.88183,2.55513e-05,2.55513e-05,2.55513e-05
140,1209.77,0.27299,2.81483,0.16262,0.23943,0.88911,0.97563,0.98213,0.98638,0.93625,0.84381,0.84788,0.83909,0.40658,0.32458,3.3171,0.16688,0.26454,0.88266,2.30784e-05,2.30784e-05,2.30784e-05
141,1218.12,0.26608,2.85954,0.16801,0.23808,0.87579,0.97805,0.98213,0.98616,0.93945,0.85004,0.84788,0.83867,0.40794,0.3239,3.31531,0.16505,0.27004,0.88053,2.08169e-05,2.08169e-05,2.08169e-05
142,1226.44,0.26624,2.84508,0.15712,0.22873,0.86986,0.97587,0.98213,0.98621,0.9367,0.84401,0.84788,0.83954,0.40681,0.32893,3.30916,0.16427,0.27011,0.88576,1.87678e-05,1.87678e-05,1.87678e-05
143,1234.85,0.26684,2.83454,0.15941,0.23374,0.87156,0.97578,0.98213,0.98653,0.93639,0.84396,0.84788,0.84027,0.40523,0.32832,3.30298,0.16323,0.26619,0.88719,1.6932e-05,1.6932e-05,1.6932e-05
144,1243.22,0.26454,2.8143,0.15719,0.2305,0.87885,0.97614,0.98213,0.98676,0.94071,0.82854,0.83175,0.82084,0.40367,0.32328,3.30875,0.16333,0.26402,0.88128,1.53102e-05,1.53102e-05,1.53102e-05
145,1251.67,0.26488,2.79175,0.1567,0.23451,0.87445,0.97608,0.98213,0.98681,0.94127,0.84418,0.84788,0.84266,0.4112,0.32431,3.30854,0.16272,0.26259,0.88409,1.39032e-05,1.39032e-05,1.39032e-05
146,1260.08,0.2658,2.80142,0.15719,0.22692,0.87481,0.97631,0.98213,0.98682,0.94092,0.83641,0.83982,0.83454,0.4072,0.31617,3.29865,0.16111,0.25954,0.87568,1.27117e-05,1.27117e-05,1.27117e-05
147,1268.52,0.26656,2.80488,0.16579,0.23103,0.88447,0.97617,0.98213,0.98687,0.94,0.83638,0.83982,0.83334,0.40834,0.31618,3.30464,0.16116,0.26079,0.87432,1.1736e-05,1.1736e-05,1.1736e-05
148,1276.89,0.25769,2.78377,0.14847,0.22039,0.87732,0.97767,0.98213,0.9869,0.94213,0.83649,0.83982,0.83209,0.40729,0.31345,3.30575,0.1621,0.25744,0.87234,1.09768e-05,1.09768e-05,1.09768e-05
149,1285.19,0.26001,2.77098,0.15641,0.2304,0.8645,0.98379,0.98197,0.98668,0.94439,0.84651,0.84962,0.84423,0.41178,0.31338,3.27208,0.16182,0.25861,0.87223,1.04342e-05,1.04342e-05,1.04342e-05
150,1293.6,0.25814,2.80738,0.15434,0.22563,0.87301,0.97637,0.98213,0.98639,0.94232,0.84428,0.84788,0.8392,0.40926,0.31325,3.28621,0.16186,0.25942,0.87121,1.01086e-05,1.01086e-05,1.01086e-05
