epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,235.898,0.81234,3.33818,0.49266,0.87771,1.21094,0.89619,0.95001,0.96894,0.81943,0.55791,0.55306,0.43707,0.12039,0.59323,5.28801,0.26357,0.57705,1.05659,0.000928405,0.000928405,0.000928405
28,248.35,0.80628,3.26558,0.48971,0.86121,1.2015,0.92802,0.9146,0.96393,0.80998,0.52223,0.50901,0.37412,0.0942,0.61483,5.34779,0.25626,0.56087,1.07829,0.000922942,0.000922942,0.000922942
29,256.836,0.80513,3.19325,0.49434,0.88216,1.21414,0.87561,0.80945,0.89359,0.72523,0.66276,0.5234,0.48332,0.14436,0.7604,5.04796,0.27286,0.81401,1.19061,0.000917296,0.000917296,0.000917296
30,265.29,0.79196,3.2117,0.49715,0.85727,1.2013,0.90223,0.85705,0.9152,0.78461,0.53926,0.52295,0.40972,0.11017,0.61554,5.07081,0.23636,0.73563,1.09245,0.000911469,0.000911469,0.000911469
31,273.66,0.78588,3.15283,0.48269,0.85045,1.18956,0.94678,0.90347,0.9587,0.82023,0.70111,0.66284,0.60766,0.17934,0.6148,4.47237,0.23167,0.61419,1.09169,0.000905463,0.000905463,0.000905463
32,282.431,0.74781,3.08796,0.47225,0.81606,1.17325,0.84961,0.93201,0.93508,0.80914,0.58955,0.61472,0.51247,0.17187,0.56304,4.86172,0.22764,0.57601,1.05293,0.000899282,0.000899282,0.000899282
33,290.91,0.76845,2.8431,0.47795,0.82498,1.20031,0.93449,0.9208,0.97334,0.83777,0.68042,0.67622,0.61131,0.21328,0.58663,4.60008,0.20456,0.55571,1.07481,0.000892928,0.000892928,0.000892928
34,299.378,0.73983,2.99164,0.4823,0.7825,1.16876,0.91953,0.94639,0.96902,0.83071,0.65687,0.66176,0.55876,0.21229,0.59557,4.41735,0.22881,0.5594,1.06233,0.000886404,0.000886404,0.000886404
35,308.213,0.73715,2.79061,0.47821,0.79538,1.16165,0.94139,0.9461,0.96704,0.84278,0.69667,0.65858,0.57032,0.19417,0.57531,4.51011,0.22216,0.54234,1.06003,0.000879713,0.000879713,0.000879713
36,316.688,0.74741,2.93566,0.47178,0.81933,1.17469,0.94338,0.90775,0.97253,0.83449,0.72604,0.65344,0.5993,0.22342,0.57788,4.5603,0.1973,0.55459,1.04058,0.000872857,0.000872857,0.000872857
37,325.3,0.72428,2.93079,0.47434,0.78476,1.17075,0.90702,0.94942,0.96429,0.83649,0.58231,0.57527,0.45236,0.15279,0.60312,5.01515,0.23604,0.52601,1.09451,0.000865839,0.000865839,0.000865839
38,333.803,0.72547,2.7162,0.47573,0.77786,1.16627,0.94797,0.93604,0.97337,0.85323,0.84731,0.71094,0.69564,0.25128,0.55152,4.30102,0.21725,0.49894,1.03405,0.000858664,0.000858664,0.000858664
39,342.15,0.72415,2.68362,0.46946,0.80336,1.16669,0.86202,0.94127,0.96981,0.8277,0.68663,0.698,0.64232,0.20364,0.58136,4.48726,0.26953,0.54094,1.04043,0.000851333,0.000851333,0.000851333
